Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
38606235,Subscribed: Why the Subscription Model Will Be Your Company's Future - and What to Do About It,Tien Tzuo,"Tzuo, Tien",Gabe Weisert,"=""0525536477""","=""9780525536475""",4.0,Portfolio,Kindle Edition,254,2018,2018,,2025/06/02,,,read,,,,1,0
123285097,The Adaptive Markets Hypothesis: An Evolutionary Approach to Understanding Financial System Dynamics (Clarendon Lectures in Finance),Andrew W. Lo,"Lo, Andrew W.",Ruixun Zhang,"=""0199681147""","=""9780199681143""",0,Oxford University Press,Hardcover,800,2024,,,2025/06/02,learning-plan,learning-plan (#4),learning-plan,,,,0,0
128429,Against the Gods: The Remarkable Story of Risk,Peter L. Bernstein,"Bernstein, Peter L.",,"=""0471295639""","=""9780471295631""",0,Wiley,Paperback,400,1998,1996,,2025/06/02,learning-plan,learning-plan (#3),learning-plan,,,,0,0
24582662,Neural Networks and Deep Learning,Michael Nielsen,"Nielsen, Michael",,"=""""","=""""",0,,ebook,224,2013,2013,,2025/06/02,learning-plan,learning-plan (#2),learning-plan,,,,0,0
10483171,The Beginning of Infinity: Explanations That Transform the World,David Deutsch,"Deutsch, David",,"=""0670022756""","=""9780670022755""",0,Viking,Hardcover,487,2011,2011,,2025/06/02,learning-plan,learning-plan (#1),learning-plan,,,,0,0
514210,The Way of Zen,Alan W. Watts,"Watts, Alan W.",,"=""0375705104""","=""9780375705106""",0,Vintage,Paperback,236,1999,,2025/05/03,2022/10/05,mindfulness-and-stoicism,mindfulness-and-stoicism (#3),read,,,,1,0
3023,Basic Economics: A Citizen's Guide to the Economy,Thomas Sowell,"Sowell, Thomas",,"=""0465081452""","=""9780465081455""",0,Basic Books,Hardcover,448,2003,2000,,2024/03/30,,,read,,,,1,0
53854507,The Quality of Madness: FULLY UPDATED,Tim Rich,"Rich, Tim",,"=""1529405025""","=""9781529405026""",3.0,Quercus,Kindle Edition,323,2020,,2025/04/17,2024/07/05,,,read,,,,1,0
58642436,The Status Game: On Human Life and How to Play It,Will Storr,"Storr, Will",,"=""0008354650""","=""9780008354657""",0,William Collins,Kindle Edition,437,2021,,2025/04/15,2025/02/23,,,read,,,,1,0
195348175,Effortless Being,David Bingham,"Bingham, David","Jessica Wood, Clelia Lewis","=""""","=""""",5.0,,Kindle Edition,77,2023,,2025/01/10,2025/01/10,,,read,,,,1,0
13588394,The Signal and the Noise: Why So Many Predictions Fail—But Some Don't,Nate Silver,"Silver, Nate",,"=""159420411X""","=""9781594204111""",0,Penguin,Hardcover,544,2012,2012,2024/12/07,2024/09/14,,,read,,,,1,0
34689843,Disciplined Entrepreneurship Workbook (Disciplined Entrepreneurship Series),Bill Aulet,"Aulet, Bill",,"=""""","=""""",5.0,Wiley,Kindle Edition,409,2017,2013,2020/12/17,2020/12/03,,,read,,,,1,0
44442944,"No Self, No Problem: How Neuropsychology Is Catching Up to Buddhism (The No Self Wisdom Series)",Chris Niebauer,"Niebauer, Chris",,"=""1938289978""","=""9781938289972""",4.0,Hierophant Publishing,Paperback,192,2019,2019,,2024/11/17,,,read,,,,1,0
39963165,Extreme Ownership: How U.S. Navy SEALs Lead and Win,Jocko Willink,"Willink, Jocko",Leif Babin,"=""""","=""""",3.0,St. Martin's Press,Kindle Edition,322,2017,2015,2024/11/17,2023/03/10,mindfulness-and-stoicism,mindfulness-and-stoicism (#6),read,,,,1,0
45723076,"The Source: A Transformative Guide to Unlocking Your Mind, Harnessing Neuroplasticity, and Manifesting Success Through the Power of the Law of Attraction",Tara Swart,"Swart, Tara",,"=""0062935755""","=""9780062935755""",1.0,HarperOne,Kindle Edition,288,2019,2019,2024/10/20,2024/09/26,,,read,,,,1,0
53685783,Valuation: Measuring and Managing the Value of Companies (Wiley Finance),McKinsey & Company Inc.,"Inc., McKinsey & Company","Tim Koller, Marc Goedhart, David Wessels","=""1119610923""","=""9781119610922""",0,Wiley,Kindle Edition,845,2020,2000,2022/11/26,2022/09/12,,,read,,,,1,0
204236330,On the Edge: The Art of Risking Everything,Nate Silver,"Silver, Nate",,"=""0593491637""","=""9780593491638""",5.0,Penguin Press,Kindle Edition,572,2024,2024,2024/09/01,2024/08/13,,,read,"<strong>Strong Introduction to “The River” and the Forces Shaping Our World Today</strong><br/><br/>I really enjoyed reading “On the Edge” and recommend it highly to others, irrespective of their interests, as it provides context for ongoing cultural wars and societal development. <br/><br/>Silver does an outstanding job of providing a tour of the “River” (Silver’s word for a section of society that effectively views the world through expected value calculations) as he sets out to do at the outset of the book. But more importantly, I found him to be measured in his praise and criticisms of it, which allowed for a more thorough examination of its component parts. <br/><br/>For some, this will be an articulation of beliefs and information that they inherently know. Yet, for others, this will represent an eye-opening account of how some of our society’s “different thinkers” view and engage with the world. <br/><br/>Following this book, I’m interested in a deeper exploration of how the River interacts with the “Village” (what Silver calls the “ideological” or “identitarian” section of society, often seen as left-leaning academics and “coastal elites”), as well as a breakdown of the Village into its component parts. Namely, I’d want to know whether the global rise of populism in the last 10-15 years might be more “Village”-ish than one would think. My working thesis is that right-wing populism is a direct descendant of the Village with similar fondness for ideology and absolutism, but without the gloss of academic backing. ",,,1,0
6766319,"Bond Markets, Analysis, and Strategies",Frank J. Fabozzi,"Fabozzi, Frank J.",,"=""0136078974""","=""9780136078975""",0,Pearson College Div,Hardcover,778,2009,1988,2024/07/22,2024/03/16,,,read,,,,1,0
3828902,Thinking In Systems: A Primer,Donella H. Meadows,"Meadows, Donella H.",Diana Wright,"=""1603580557""","=""9781603580557""",3.0,Chelsea Green Publishing,Paperback,218,2008,2008,2024/07/21,2024/07/08,,,read,,,,1,0
51877,Capitalism and Freedom,Milton Friedman,"Friedman, Milton",,"=""0226264211""","=""9780226264219""",0,University of Chicago Press,Paperback,208,2002,1962,2024/07/17,2024/04/10,,,read,,,,1,0
61354484,Meditations: A New Translation,Marcus Aurelius,"Aurelius, Marcus",Gregory Hays,"=""""","=""9798466327175""",5.0,,Paperback,,2021,180,,2023/07/29,,,read,,,,1,0
157095669,Hidden Potential: The Science of Achieving Greater Things,Adam M. Grant,"Grant, Adam M.",,"=""0593653149""","=""9780593653142""",4.0,Viking,Hardcover,304,2023,2023,2024/06/25,2023/11/20,,,read,,,,1,0
900979,"Management: Tasks, Responsibilities, Practices",Peter F. Drucker,"Drucker, Peter F.",,"=""0887306152""","=""9780887306150""",4.0,Harper Business,Paperback,864,1993,1985,2024/06/20,2024/04/15,,,read,,,,1,0
77920694,"The Fund: Ray Dalio, Bridgewater Associates, and the Unraveling of a Wall Street Legend",Rob Copeland,"Copeland, Rob",,"=""1250276934""","=""9781250276933""",4.0,St. Martin's Press,Hardcover,352,2023,2023,,2023/12/18,,,read,,,,1,0
13525945,So Good They Can't Ignore You: Why Skills Trump Passion in the Quest for Work You Love,Cal Newport,"Newport, Cal",,"=""1455509108""","=""9781455509102""",4.0,Business Plus,Kindle Edition,288,2012,2012,,2024/05/11,,,read,,,,1,0
76334,A New Earth: Awakening to Your Life's Purpose,Eckhart Tolle,"Tolle, Eckhart",,"=""0452287588""","=""9780452287587""",5.0,Plume,Paperback,316,2006,2005,,2023/05/07,mindfulness-and-stoicism,mindfulness-and-stoicism (#5),read,,,,1,0
57185177,The Socratic Method: A Practitioner's Handbook,Ward Farnsworth,"Farnsworth, Ward",,"=""1567926851""","=""9781567926859""",0,"David R. Godine, Publisher",Hardcover,243,2021,2021,2024/05/12,2022/06/25,mindfulness-and-stoicism,mindfulness-and-stoicism (#1),read,,,,1,0
56268989,"The Bond King: How One Man Made a Market, Built an Empire, and Lost it All",Mary  Childs,"Childs, Mary",,"=""1250120845""","=""9781250120847""",3.0,Flatiron Books,Hardcover,336,2022,2022,,2022/06/27,,,read,,,,1,0
25698,An Inquiry into the Nature and Causes of the Wealth of Nations,Adam Smith,"Smith, Adam","George J. Stigler, Edwin Cannan","=""0226763749""","=""9780226763743""",0,University Of Chicago Press,Paperback,1076,1977,1776,,2024/04/10,to-read,to-read (#4),to-read,,,,0,0
113576,The Smartest Guys in the Room: The Amazing Rise and Scandalous Fall of Enron,Bethany McLean,"McLean, Bethany",Peter Elkind,"=""1591840538""","=""9781591840534""",4.0,Portfolio Trade,Paperback,440,2004,2003,2024/04/10,2022/03/25,business,business (#1),read,,,,1,0
22337524,Value Proposition Design: How to Create Products and Services Customers Want,Alexander Osterwalder,"Osterwalder, Alexander","Yves Pigneur, Patricia Papadakos, Gregory Bernarda, Alan Smith, Nguyễn Thụy Khánh Chương","=""1118968077""","=""9781118968079""",0,Wiley,,290,2015,2013,,2024/03/30,,,read,,,,1,0
6708,The Power of Now: A Guide to Spiritual Enlightenment,Eckhart Tolle,"Tolle, Eckhart",,"=""""","=""""",5.0,New World Library,Paperback,229,2004,1997,,2023/03/12,mindfulness-and-stoicism,mindfulness-and-stoicism (#7),read,,,,1,0
149105520,Going Infinite: The Rise and Fall of a New Tycoon,Michael   Lewis,"Lewis, Michael",,"=""1324074337""","=""9781324074335""",3.0,W. W. Norton & Company,Hardcover,272,2023,2023,,2024/03/22,,,read,,,,1,0
1111,The Power Broker: Robert Moses and the Fall of New York,Robert A. Caro,"Caro, Robert A.",,"=""0394720245""","=""9780394720241""",4.0,Vintage Books,Paperback,1246,1975,1974,2024/03/22,2023/06/06,power-and-powerful-people,power-and-powerful-people (#2),read,,,,1,0
80571,American Prometheus: The Triumph and Tragedy of J. Robert Oppenheimer,Kai Bird,"Bird, Kai",Martin J. Sherwin,"=""""","=""""",0,Vintage Books,Paperback,721,2007,2005,,2024/02/25,to-read,to-read (#3),to-read,,,,0,0
59891634,Smart Brevity: The Power of Saying More with Less (Revised and Updated),Jim Vandehei,"Vandehei, Jim","Mike Allen, Roy       Schwartz","=""1523516976""","=""9781523516971""",4.0,Workman Publishing Company,Hardcover,224,2022,2022,,2024/02/17,,,read,,,,1,0
14572,Peace Is Every Step: The Path of Mindfulness in Everyday Life,Thich Nhat Hanh,"Hanh, Thich Nhat","Dalai Lama XIV, Arnold Kotler","=""0553351397""","=""9780553351392""",0,Bantam,Paperback,157,1992,1992,,2022/05/01,mindfulness-and-stoicism,mindfulness-and-stoicism (#4),read,,,,1,0
11021707,The Most Important Thing: Uncommon Sense for the Thoughtful Investor (Columbia Business School Publishing),Howard  Marks,"Marks, Howard",,"=""""","=""""",4.0,,Kindle Edition,196,,2011,2023/12/23,2023/06/25,investing,investing (#3),read,,,,1,0
122765395,Elon Musk,Walter Isaacson,"Isaacson, Walter",,"=""1982181281""","=""9781982181284""",5.0,Simon & Schuster,Hardcover,688,2023,2023,2023/12/10,2023/06/04,"business, power-and-powerful-people","business (#2), power-and-powerful-people (#1)",read,,,,1,0
2666,The Bonfire of the Vanities,Tom Wolfe,"Wolfe, Tom",,"=""""","=""""",0,Dial Press Trade Paperback,Paperback,690,2001,1987,2023/11/11,2023/02/23,,,read,,,,1,0
60018575,Discipline Is Destiny: The Power of Self-Control,Ryan Holiday,"Holiday, Ryan",,"=""0593191692""","=""9780593191699""",0,Portfolio,Hardcover,312,2022,2022,2023/11/11,2023/08/19,,,read,,,,1,0
6288,The Road,Cormac McCarthy,"McCarthy, Cormac",,"=""0307265439""","=""9780307265432""",0,Alfred A. Knopf,Hardcover,241,2006,2006,,2023/09/10,to-read,to-read (#2),to-read,,,,0,0
61153739,Outlive: The Science & Art of Longevity,Peter Attia,"Attia, Peter",Bill Gifford,"=""0593236599""","=""9780593236598""",5.0,Harmony,Hardcover,496,2023,2023,,2022/08/15,mindfulness-and-stoicism,mindfulness-and-stoicism (#2),read,,,,2,0
203409,Security Analysis: The Classic 1951 Edition,Benjamin Graham,"Graham, Benjamin",,"=""0071448209""","=""9780071448208""",0,McGraw Hill,Hardcover,784,2004,1934,,2023/06/25,"to-read, investing","to-read (#1), investing (#2)",to-read,,,,0,0
22318578,The Life-Changing Magic of Tidying Up: The Japanese Art of Decluttering and Organizing,Marie Kondō,"Kondō, Marie",,"=""1607747308""","=""9781607747307""",0,Ten Speed Press,Hardcover,224,2014,2010,,2023/05/07,,,read,,,,1,0
25018903,Managing Oneself (Harvard Business Review Classics),Peter F. Drucker,"Drucker, Peter F.",,"=""1633691012""","=""9781633691018""",4.0,Harvard Business Review Press,Kindle Edition,70,2008,1999,2023/03/11,2023/03/01,,,read,,,,1,0
48019,The Effective Executive: The Definitive Guide to Getting the Right Things Done (Harperbusiness Essentials),Peter F. Drucker,"Drucker, Peter F.",,"=""0060833459""","=""9780060833459""",4.0,Harper Business,Paperback,208,2006,1966,2023/03/10,2023/02/10,,,read,,,,1,0
53597683,Alternative Investments: Caia Level I,Donald R. Chambers,"Chambers, Donald R.","Mark J. P. Anson, Keith H. Black, Hossein B. Kazemi, CAIA Association","=""111960415X""","=""9781119604150""",3.0,Wiley,Kindle Edition,882,2020,2015,2022/11/26,2022/09/22,,,read,,,,1,0
6589212,The Island at the Center of the World,Russell Shorto,"Shorto, Russell",,"=""""","=""""",3.0,,Kindle Edition,416,,2004,2022/11/26,2022/08/29,,,read,,,,1,0
16121,"Titan: The Life of John D. Rockefeller, Sr.",Ron Chernow,"Chernow, Ron",,"=""1400077303""","=""9781400077304""",4.0,Vintage,Paperback,832,2004,1998,2022/08/31,2022/02/22,,,read,,,,1,0
45695810,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",3.0,Penguin Books,ebook,466,2016,2016,2022/07/08,2022/04/03,,,read,,,,1,0
36072,The 7 Habits of Highly Effective People: Powerful Lessons in Personal Change,Stephen R. Covey,"Covey, Stephen R.",Jim Collins,"=""0743269519""","=""9780743269513""",0,Free Press,Paperback,372,2004,1989,,2022/05/17,,,read,,,,1,0
38799469,Bad Blood: Secrets and Lies in a Silicon Valley Startup,John Carreyrou,"Carreyrou, John",,"=""""","=""""",5.0,Vintage,Kindle Edition,353,2018,2018,2022/04/10,2022/03/06,,,read,,,,1,0
18713156,Founders at Work: Stories of Startups' Early Days,Jessica Livingston,"Livingston, Jessica",,"=""""","=""""",4.0,Apress,Kindle Edition,457,2008,2001,2022/04/03,2022/02/01,,,read,,,,1,0
13589182,Mastery,Robert Greene,"Greene, Robert",,"=""0670024961""","=""9780670024964""",3.0,Viking,Hardcover,318,2012,2012,2022/04/03,2022/02/22,,,read,,,,1,0
7723797,Business Model Generation,Alexander Osterwalder,"Osterwalder, Alexander",Yves Pigneur,"=""2839906171""","=""9782839906173""",3.0,Alexander Osterwalder & Yves Pigneur,Paperback,273,2010,2010,2022/03/06,2022/02/01,,,read,,,,1,0
36548138,The 48 Laws of Power,Robert Greene,"Greene, Robert",,"=""""","=""""",4.0,Penguin Books,Kindle Edition,452,2000,1999,2022/03/01,2022/02/22,,,read,,,,1,0
38657386,Leadership: In Turbulent Times,Doris Kearns Goodwin,"Goodwin, Doris Kearns",,"=""""","=""""",4.0,Simon & Schuster,Hardcover,473,2018,2018,2022/03/01,2022/02/01,,,read,,,,1,0
39704675,Innovation and Entrepreneurship,Peter F. Drucker,"Drucker, Peter F.",,"=""""","=""""",4.0,HarperCollins e-books,Kindle Edition,288,2009,1985,2022/02/01,2021/12/19,,,read,,,,1,0
38712616,Capitalism in America: An Economic History of the United States,Alan Greenspan,"Greenspan, Alan",Adrian Wooldridge,"=""0735222452""","=""9780735222458""",3.0,Penguin Random House,Kindle Edition,496,2018,2018,2021/12/19,2020/09/07,,,read,,,,1,0
36315171,Business Adventures: Twelve Classic Tales from the World of Wall Street,John Brooks,"Brooks, John",,"=""""","=""""",3.0,Open Road Media,Kindle Edition,468,2014,1969,2021/12/19,2021/11/21,,,read,,,,1,0
54442229,Trust: America's Best Chance,Pete Buttigieg,"Buttigieg, Pete",,"=""1797119214""","=""9781797119212""",3.0,Simon & Schuster Audio,Audio CD,0,2020,2020,2021/11/04,2021/10/18,,,read,,,,1,0
49700700,"The Future of Finance: The Impact of FinTech, AI, and Crypto on Financial Services",Henri Arslanian,"Arslanian, Henri",Fabrice Fischer,"=""3030145336""","=""9783030145330""",2.0,Palgrave Macmillan,Kindle Edition,312,2019,,2021/10/18,2021/01/18,,,read,,,,1,0
8165005,The Declaration of Independence/The Constitution of the United States,Pauline Maier,"Maier, Pauline",,"=""""","=""""",5.0,,Kindle Edition,114,,1998,2021/09/03,2021/08/28,,,read,,,,1,0
26234976,Man's Search For Meaning,Viktor E. Frankl,"Frankl, Viktor E.","Harold S. Kushner, William J. Winslade","=""""","=""""",5.0,Beacon Press,Kindle Edition,202,2015,1946,2021/09/03,2020/09/05,,,read,,,,1,0
56893520,"The Bomber Mafia: A Dream, a Temptation, and the Longest Night of the Second World War",Malcolm Gladwell,"Gladwell, Malcolm",,"=""0316296937""","=""9780316296939""",4.0,"Little, Brown And Company",Kindle Edition,179,2021,2021,2021/08/31,2021/05/24,,,read,,,,1,0
285500,The Declaration of Independence / The Constitution of the United States,Founding Fathers,"Fathers, Founding",,"=""0553214829""","=""9780553214826""",0,Bantam Classics,Mass Market Paperback,112,1998,1776,,2020/09/15,,,read,,,,1,0
49532216,The Paris Hours,Alex George,"George, Alex",,"=""125030718X""","=""9781250307187""",3.0,Flatiron Books,Hardcover,272,2020,2020,2021/08/28,2021/03/14,,,read,,,,1,0
34374423,"Salt, Fat, Acid, Heat",Samin Nosrat,"Nosrat, Samin",Wendy MacNaughton,"=""1476753857""","=""9781476753850""",0,Simon & Schuster,Kindle Edition,480,2017,2017,2021/08/12,2021/02/09,,,read,,,,1,0
11923102,Good to Great: Why Some Companies Make the Leap...and Others Don't,Jim Collins,"Collins, Jim",,"=""""","=""""",5.0,HarperBusiness,Kindle Edition,324,2011,2001,2017/04/30,2016/08/17,,,read,,,,2,0
54388921,The Everything Store: Jeff Bezos and the Age of Amazon,Brad Stone,"Stone, Brad",,"=""""","=""""",4.0,"Little, Brown and Company",Kindle Edition,386,,2013,2021/07/18,2020/09/15,,,read,,,,1,0
36294636,Why We Sleep: Unlocking the Power of Sleep and Dreams,Matthew Walker,"Walker, Matthew",,"=""1501144332""","=""9781501144332""",3.0,Scribner,Kindle Edition,360,2017,2017,2021/03/28,2021/02/09,,,read,,,,1,0
55695419,Post Corona: From Crisis to Opportunity,Scott Galloway,"Galloway, Scott",,"=""0593332229""","=""9780593332221""",4.0,Portfolio,Kindle Edition,256,2020,2020,2021/05/22,2021/01/10,,,read,,,,1,0
35807243,The Choice: Embrace the Possible,Edith Eger,"Eger, Edith",,"=""1501130811""","=""9781501130816""",5.0,Scribner,Kindle Edition,321,2017,2017,2020/09/04,2020/08/20,,,read,,,,1,0
49436,Three Cups of Tea: One Man's Mission to Promote Peace ... One School at a Time,Greg Mortenson,"Mortenson, Greg",David Oliver Relin,"=""0143038257""","=""9780143038252""",0,Penguin ,Paperback,349,2007,2006,,2021/02/09,,,read,,,,1,0
45730424,"Dark Towers: Deutsche Bank, Donald Trump, and an Epic Trail of Destruction",David Enrich,"Enrich, David",,"=""0062878824""","=""9780062878823""",4.0,Custom House,ebook,432,2020,2020,2021/02/09,2020/09/07,,,read,,,,1,0
44343254,This America: The Case for the Nation,Jill Lepore,"Lepore, Jill",,"=""1631496425""","=""9781631496424""",4.0,Liveright,Kindle Edition,150,2019,2019,2021/01/07,2020/10/18,,,read,,,,1,0
32284263,"Black Edge: Inside Information, Dirty Money, and the Quest to Bring Down the Most Wanted Man on Wall Street",Sheelah Kolhatkar,"Kolhatkar, Sheelah",,"=""0812995805""","=""9780812995800""",4.0,Random House,Hardcover,295,2017,2017,2020/12/28,2020/09/07,,,read,,,,1,0
